Distance HF_Energy DFA_Energy Coefficient Exponent
0.001 527.1776383173 527.1825146859 -0.4036714 140.2212977
0.002 262.5890582779 262.5939361504 -0.4038553 140.2210512
0.003 174.3928995359 174.3977779211 -0.4039726 140.2210608
0.004 130.2948597251 130.2997396354 -0.4042193 140.2208817
0.005 103.8360776531 103.8409595061 -0.4045367 140.2206530
0.006 86.1969330838 86.2018173221 -0.4049352 140.2203228
0.007 73.5975887295 73.6024757680 -0.4053932 140.2199332
0.008 64.1481259007 64.1530161628 -0.4059213 140.2194737
0.009 56.7985897234 56.8034836339 -0.4065195 140.2189541
0.010 50.9190072264 50.9239051922 -0.4071976 140.2189882
0.011 46.1084650012 46.1133728623 -0.4083430 140.2172639
0.012 42.0997446723 42.1046573985 -0.4091497 140.2167578
0.013 38.7077976213 38.7127156081 -0.4100197 140.2157260
0.014 35.8004615681 35.8053852037 -0.4109672 140.2150818
0.015 33.2808174623 33.2857471333 -0.4119711 140.2141393
0.016 31.0761759717 31.0811120585 -0.4130405 140.2120809
0.017 29.1309510931 29.1358939660 -0.4133608 140.0014508
0.018 27.4019092263 27.4068592477 -0.4145706 140.0017421
0.019 25.8549185409 25.8598760678 -0.4158298 140.0015789
0.020 24.4626735327 24.4676389156 -0.4171658 140.0016374
0.021 23.2030697080 23.2080432883 -0.4185594 140.0017032
0.022 22.0580215348 22.0630036449 -0.4200178 140.0017672
0.023 21.0125887557 21.0175797203 -0.4215390 140.0018300
0.024 20.0543211223 20.0593212589 -0.4231219 140.0021328
0.025 19.1727603932 19.1777700115 -0.4247591 140.0021881
0.026 18.3590572562 18.3640766570 -0.4264490 140.0020085
0.027 17.6056733785 17.6107028538 -0.4282068 140.0020639
0.028 16.9061473040 16.9111871375 -0.4300188 140.0021319
0.029 16.2549087846 16.2599592524 -0.4318974 140.0024351
0.030 15.6471302468 15.6521916172 -0.4338234 140.0024850
0.031 15.0786070053 15.0836795384 -0.4357972 140.0022986
0.032 14.5456599376 14.5507438851 -0.4378383 140.0026066
0.033 14.0450558536 14.0501514591 -0.4399274 140.0026603
0.034 13.5739419181 13.5790494174 -0.4420671 140.0024549
0.035 13.1297913145 13.1349109360 -0.4442598 140.0025113
0.036 12.7103579654 12.7154899300 -0.4465074 140.0025661
0.037 12.3136385949 12.3187831165 -0.4488081 140.0026199
0.038 11.9378407820 11.9429980667 -0.4511608 140.0029346
0.039 11.5813559282 11.5865261747 -0.4535583 140.0029824
0.040 11.2427362799 11.2479196800 -0.4559999 140.0027718
0.041 10.9206753138 10.9258720528 -0.4584993 140.0030942
0.042 10.6139909243 10.6192011806 -0.4610457 140.0031311
0.043 10.3216109564 10.3268349022 -0.4636256 140.0029181
0.044 10.0425607117 10.0477985128 -0.4662656 140.0029628
0.045 9.7759521203 9.7812039360 -0.4689484 140.0030115
0.046 9.5209743248 9.5262403084 -0.4716779 140.0030646
0.047 9.2768854665 9.2821657653 -0.4744586 140.0033841
0.048 9.0430054983 9.0483002537 -0.4772711 140.0031469
0.049 8.8187098774 8.8240192253 -0.4801300 140.0031971
0.050 8.6034240154 8.6087480861 -0.4830369 140.0032439
0.051 8.3966183802 8.4019572990 -0.4859885 140.0032879
0.052 8.1978041649 8.2031580513 -0.4889820 140.0036172
0.053 8.0065294448 8.0118984134 -0.4920067 140.0033699
0.054 7.8223757631 7.8277599232 -0.4950777 140.0034088
0.055 7.6449550885 7.6503545443 -0.4981854 140.0020248
