Distance HF_Energy DFA_Energy Coefficient Exponent
0.001 3167.3532036494 3167.3636719996 -0.0719599 130.5395490
0.002 1579.5889765761 1579.5995770741 -0.0728896 130.5364663
0.003 1050.3902792063 1050.4008893171 -0.0730068 130.5368194
0.004 785.7868482425 785.7974741847 -0.0731888 130.5370780
0.005 627.0387841635 627.0494274892 -0.0733964 130.5373792
0.006 521.1995578842 521.2102244417 -0.0736670 130.5377789
0.007 445.6044688569 445.6151699584 -0.0740299 130.5376903
0.008 388.9073091695 388.9180391379 -0.0743751 130.5378120
0.009 344.8139040245 344.8246685042 -0.0747802 130.5380419
0.010 309.5374249653 309.5482289455 -0.0752478 130.5382140
0.011 280.6770582842 280.6879032891 -0.0757356 130.5382737
0.012 256.6268823618 256.6377711066 -0.0762758 130.5384430
0.013 236.2792790386 236.2902165705 -0.0768717 130.5386620
0.014 218.8381023793 218.8490927430 -0.0775096 130.5387527
0.015 203.7240087014 203.7350537938 -0.0781851 130.5388438
0.016 190.4996607313 190.5107623753 -0.0788976 130.5389492
0.017 178.8329708313 178.8441322659 -0.0796572 130.5390522
0.018 168.4627245881 168.4739496176 -0.0804631 130.5391084
0.019 159.1853954647 159.1966869161 -0.0813054 130.5391085
0.020 150.8364180239 150.8477775132 -0.0821974 130.5393195
0.021 143.2838820445 143.2953152900 -0.0831487 130.5392823
0.022 136.4184889192 136.4299934856 -0.0840979 130.5392636
0.023 130.1512275939 130.1628060210 -0.0850969 130.5393401
0.024 124.4069020146 124.4185566730 -0.0861463 130.5394565
0.025 119.1233922225 119.1351247418 -0.0872192 130.5393940
0.026 114.2467800442 114.2585913994 -0.0883281 130.5394352
0.027 109.7324150917 109.7443060786 -0.0894756 130.5394512
0.028 105.5413367240 105.5533084032 -0.0906502 130.5394959
0.029 101.6402427820 101.6522965184 -0.0918681 130.5395254
0.030 97.9997369727 98.0118741575 -0.0931227 130.5396391
0.031 94.5950200578 94.6072417514 -0.0944081 130.5396566
0.032 91.4037474354 91.4160542505 -0.0957223 130.5395764
0.033 88.4068710907 88.4192632978 -0.0970732 130.5396747
0.034 85.5868060946 85.5992838925 -0.0984480 130.5396837
0.035 82.9287216517 82.9412853373 -0.0998497 130.5396020
0.036 80.4189302760 80.4315802933 -0.1012850 130.5396101
0.037 78.0456889109 78.0584257243 -0.1027565 130.5396286
0.038 75.7978721633 75.8106961242 -0.1042667 130.5396275
0.039 73.6660903260 73.6790015463 -0.1058038 130.5397140
0.040 71.6414875004 71.6544858692 -0.1073585 130.5396241
0.041 69.7164480660 69.7295333162 -0.1089501 130.5396255
0.042 67.8835784451 67.8967502882 -0.1105720 130.5397220
0.043 66.1366585382 66.1499167197 -0.1122178 130.5397243
0.044 64.4697013469 64.4830456811 -0.1138918 130.5397183
0.045 62.8775628380 62.8909931535 -0.1155957 130.5397236
0.046 61.3551289620 61.3686450611 -0.1173303 130.5397063
0.047 59.8981249352 59.9117265172 -0.1190863 130.5396017
0.048 58.5023547488 58.5160414049 -0.1208774 130.5395956
0.049 57.1642258284 57.1779970413 -0.1226967 130.5395921
0.050 55.8800814749 55.8939366813 -0.1245466 130.5395788
0.051 54.6468929902 54.6608316030 -0.1264195 130.5395803
0.052 53.4616296182 53.4756510743 -0.1283280 130.5396779
0.053 52.3217113681 52.3358151220 -0.1302574 130.5396708
0.054 51.2244493134 51.2386348478 -0.1322158 130.5396670
0.055 50.1676419195 50.1819086989 -0.1342054 130.5396555
0.056 49.1490841531 49.1634316097 -0.1362187 130.5395391
0.057 48.1667958022 48.1812233129 -0.1382701 130.5396370
0.058 47.2187939317 47.2333008237 -0.1403400 130.5395148
0.059 46.3034429072 46.3180284464 -0.1424435 130.5396133
0.060 45.4190414070 45.4337048278 -0.1445670 130.5396131
0.061 44.5641658895 44.5789063950 -0.1467257 130.5395940
0.062 43.7372589087 43.7520757038 -0.1489064 130.5395735
0.063 42.9370821789 42.9519744541 -0.1511054 130.5394513
0.064 42.1623219725 42.1772889159 -0.1533390 130.5394384
0.065 41.4118912294 41.4269320034 -0.1555988 130.5394296
0.066 40.6845703651 40.6996841158 -0.1578889 130.5395313
