Functional Exponent Coefficient Energy
BLYP 0.002 -175 -174.9627058285
BLYP 0.002 -174.7 -174.6633606285
BLYP 0.002 -174.4 -174.3640158149
BLYP 0.002 -174.1 -174.0646713884
BLYP 0.002 -173.8 -173.76532735
BLYP 0.002 -173.5 -173.4659837008
BLYP 0.002 -173.2 -173.1666404415
BLYP 0.002 -172.9 -172.8672975732
BLYP 0.002 -172.6 -172.5679550967
BLYP 0.002 -172.3 -172.2686130131
BLYP 0.002 -172 -171.9692713233
BLYP 0.002 -171.7 -171.6699300282
BLYP 0.002 -171.4 -171.3705891288
BLYP 0.002 -171.1 -171.0712486261
BLYP 0.002 -170.8 -170.7719085211
BLYP 0.002 -170.5 -170.4725688146
BLYP 0.002 -170.2 -170.1732295078
BLYP 0.002 -169.9 -169.8738906015
BLYP 0.002 -169.6 -169.5745520968
BLYP 0.002 -169.3 -169.2752139946
BLYP 0.002 -169 -168.975876296
BLYP 0.002 -168.7 -168.6765390019
BLYP 0.002 -168.4 -168.3772021134
BLYP 0.002 -168.1 -168.0778656314
BLYP 0.002 -167.8 -167.778529557
BLYP 0.002 -167.5 -167.4791938912
BLYP 0.002 -167.2 -167.1798586349
BLYP 0.002 -166.9 -166.8805237893
BLYP 0.002 -166.6 -166.5811893554
BLYP 0.002 -166.3 -166.2818553341
BLYP 0.002 -166 -165.9825217266
BLYP 0.002 -165.7 -165.6831885338
BLYP 0.002 -165.4 -165.3838557569
BLYP 0.002 -165.1 -165.0845233968
BLYP 0.002 -164.8 -164.7851914546
BLYP 0.002 -164.5 -164.4858599315
BLYP 0.002 -164.2 -164.1865288284
BLYP 0.002 -163.9 -163.8871981464
BLYP 0.002 -163.6 -163.5878678866
BLYP 0.002 -163.3 -163.28853805
BLYP 0.002 -163 -162.9892086379
BLYP 0.002 -162.7 -162.6898796511
BLYP 0.002 -162.4 -162.390551091
BLYP 0.002 -162.1 -162.0912229584
BLYP 0.002 -161.8 -161.7918952546
BLYP 0.002 -161.5 -161.4925679807
BLYP 0.002 -161.2 -161.1932411377
BLYP 0.002 -160.9 -160.8939147268
BLYP 0.002 -160.6 -160.5945887491
BLYP 0.002 -160.3 -160.2952632057
BLYP 0.002 -160 -159.9959380978
BLYP 0.002 -159.7 -159.6966134265
BLYP 0.002 -159.4 -159.397289193
BLYP 0.002 -159.1 -159.0979653983
BLYP 0.002 -158.8 -158.7986420437
BLYP 0.002 -158.5 -158.4993191303
BLYP 0.002 -158.2 -158.1999966592
