Functional Exponent Coefficient Energy
BLYP 50 -100 -9.9122179187
BLYP 50 -99.85 -9.8727252155
BLYP 50 -99.7 -9.8333054148
BLYP 50 -99.55 -9.7939586581
BLYP 50 -99.4 -9.7546850875
BLYP 50 -99.25 -9.715484845
BLYP 50 -99.1 -9.676358073
BLYP 50 -98.95 -9.6373049139
BLYP 50 -98.8 -9.5983255103
BLYP 50 -98.65 -9.5594200049
BLYP 50 -98.5 -9.5205885408
BLYP 50 -98.35 -9.4818312613
BLYP 50 -98.2 -9.4431483113
BLYP 50 -98.05 -9.4045398325
BLYP 50 -97.9 -9.3660059684
BLYP 50 -97.75 -9.3275468626
BLYP 50 -97.6 -9.2891626592
BLYP 50 -97.45 -9.2508535021
BLYP 50 -97.3 -9.2126195355
BLYP 50 -97.15 -9.1744609036
BLYP 50 -97 -9.136377751
BLYP 50 -96.85 -9.0983702222
BLYP 50 -96.7 -9.0604384619
BLYP 50 -96.55 -9.0225826149
BLYP 50 -96.4 -8.9848028261
BLYP 50 -96.25 -8.9470992418
BLYP 50 -96.1 -8.9094720071
BLYP 50 -95.95 -8.8719212663
BLYP 50 -95.8 -8.834447165
BLYP 50 -95.65 -8.7970498488
BLYP 50 -95.5 -8.7597294633
BLYP 50 -95.35 -8.7224861543
BLYP 50 -95.2 -8.6853200677
BLYP 50 -95.05 -8.6482313495
BLYP 50 -94.9 -8.6112201458
BLYP 50 -94.75 -8.5742866027
BLYP 50 -94.6 -8.5374308666
BLYP 50 -94.45 -8.5006530838
BLYP 50 -94.3 -8.4639534006
BLYP 50 -94.15 -8.4273319637
BLYP 50 -94 -8.3907889196
BLYP 50 -93.85 -8.354324415
BLYP 50 -93.7 -8.3179385966
BLYP 50 -93.55 -8.2816316113
BLYP 50 -93.4 -8.2454036058
BLYP 50 -93.25 -8.2092547271
BLYP 50 -93.1 -8.1731851222
BLYP 50 -92.95 -8.137194938
BLYP 50 -92.8 -8.1012843217
BLYP 50 -92.65 -8.0654534204
BLYP 50 -92.5 -8.0297023811
BLYP 50 -92.35 -7.9940313511
BLYP 50 -92.2 -7.9584404775
BLYP 50 -92.05 -7.9229299077
BLYP 50 -91.9 -7.8874997887
BLYP 50 -91.75 -7.8521502679
BLYP 50 -91.6 -7.8168814926
BLYP 50 -91.45 -7.7816936099
BLYP 50 -91.3 -7.7465867672
BLYP 50 -91.15 -7.7115611118
BLYP 50 -91 -7.6766167908
BLYP 50 -90.85 -7.6417539516
BLYP 50 -90.7 -7.6069727413
BLYP 50 -90.55 -7.5722733071
BLYP 50 -90.4 -7.5376557962
BLYP 50 -90.25 -7.5031203557
BLYP 50 -90.1 -7.4686671327
BLYP 50 -89.95 -7.4342962741
BLYP 50 -89.8 -7.4000079271
BLYP 50 -89.65 -7.3658022385
BLYP 50 -89.5 -7.3316793552
BLYP 50 -89.35 -7.2976394239
BLYP 50 -89.2 -7.2636825914
BLYP 50 -89.05 -7.2298090042
BLYP 50 -88.9 -7.196018809
BLYP 50 -88.75 -7.1623121521
BLYP 50 -88.6 -7.12868918
BLYP 50 -88.45 -7.0951500387
BLYP 50 -88.3 -7.0616948746
BLYP 50 -88.15 -7.0283238334
BLYP 50 -88 -6.9950370612
BLYP 50 -87.85 -6.9618347037
BLYP 50 -87.7 -6.9287169064
BLYP 50 -87.55 -6.8956838147
BLYP 50 -87.4 -6.8627355741
BLYP 50 -87.25 -6.8298723296
BLYP 50 -87.1 -6.7970942261
BLYP 50 -86.95 -6.7644014085
BLYP 50 -86.8 -6.7317940213
BLYP 50 -86.65 -6.699272209
BLYP 50 -86.5 -6.6668361157
BLYP 50 -86.35 -6.6344858855
BLYP 50 -86.2 -6.6022216621
BLYP 50 -86.05 -6.5700435891
BLYP 50 -85.9 -6.5379518097
BLYP 50 -85.75 -6.5059464672
BLYP 50 -85.6 -6.4740277043
BLYP 50 -85.45 -6.4421956636
BLYP 50 -85.3 -6.4104504874
BLYP 50 -85.15 -6.3787923177
BLYP 50 -85 -6.3472212964
BLYP 50 -84.85 -6.3157375648
BLYP 50 -84.7 -6.2843412641
BLYP 50 -84.55 -6.2530325353
BLYP 50 -84.4 -6.2218115188
BLYP 50 -84.25 -6.1906783548
BLYP 50 -84.1 -6.1596331831
BLYP 50 -83.95 -6.1286761434
BLYP 50 -83.8 -6.0978073748
BLYP 50 -83.65 -6.067027016
BLYP 50 -83.5 -6.0363352055
BLYP 50 -83.35 -6.0057320812
BLYP 50 -83.2 -5.975217781
BLYP 50 -83.05 -5.9447924418
BLYP 50 -82.9 -5.9144562006
BLYP 50 -82.75 -5.8842091937
BLYP 50 -82.6 -5.8540515571
BLYP 50 -82.45 -5.8239834262
BLYP 50 -82.3 -5.7940049361
BLYP 50 -82.15 -5.7641162213
BLYP 50 -82 -5.7343174158
BLYP 50 -81.85 -5.7046086532
BLYP 50 -81.7 -5.6749900665
BLYP 50 -81.55 -5.6454617884
BLYP 50 -81.4 -5.6160239508
BLYP 50 -81.25 -5.5866766851
BLYP 50 -81.1 -5.5574201223
BLYP 50 -80.95 -5.5282543926
BLYP 50 -80.8 -5.4991796259
BLYP 50 -80.65 -5.4701959513
BLYP 50 -80.5 -5.4413034974
BLYP 50 -80.35 -5.412502392
BLYP 50 -80.2 -5.3837927625
BLYP 50 -80.05 -5.3551747355
BLYP 50 -79.9 -5.3266484371
BLYP 50 -79.75 -5.2982139924
BLYP 50 -79.6 -5.2698715263
BLYP 50 -79.45 -5.2416211626
BLYP 50 -79.3 -5.2134630245
BLYP 50 -79.15 -5.1853972345
BLYP 50 -79 -5.1574239144
BLYP 50 -78.85 -5.1295431851
BLYP 50 -78.7 -5.101755167
BLYP 50 -78.55 -5.0740599793
BLYP 50 -78.4 -5.0464577407
BLYP 50 -78.25 -5.0189485691
BLYP 50 -78.1 -4.9915325814
BLYP 50 -77.95 -4.9642098938
BLYP 50 -77.8 -4.9369806215
BLYP 50 -77.65 -4.9098448788
BLYP 50 -77.5 -4.8828027794
BLYP 50 -77.35 -4.8558544358
BLYP 50 -77.2 -4.8289999596
BLYP 50 -77.05 -4.8022394615
BLYP 50 -76.9 -4.7755730513
BLYP 50 -76.75 -4.7490008377
BLYP 50 -76.6 -4.7225229286
BLYP 50 -76.45 -4.6961394306
BLYP 50 -76.3 -4.6698504496
BLYP 50 -76.15 -4.6436560901
BLYP 50 -76 -4.6175564559
BLYP 50 -75.85 -4.5915516494
BLYP 50 -75.7 -4.5656417721
BLYP 50 -75.55 -4.5398269243
BLYP 50 -75.4 -4.5141072052
BLYP 50 -75.25 -4.4884827128
BLYP 50 -75.1 -4.4629535439
BLYP 50 -74.95 -4.4375197943
BLYP 50 -74.8 -4.4121815583
BLYP 50 -74.65 -4.3869389292
BLYP 50 -74.5 -4.3617919989
BLYP 50 -74.35 -4.3367408581
BLYP 50 -74.2 -4.3117855961
BLYP 50 -74.05 -4.2869263012
BLYP 50 -73.9 -4.26216306
BLYP 50 -73.75 -4.237495958
BLYP 50 -73.6 -4.2129250791
BLYP 50 -73.45 -4.1884505061
BLYP 50 -73.3 -4.1640723201
BLYP 50 -73.15 -4.139790601
BLYP 50 -73 -4.115605427
BLYP 50 -72.85 -4.0915168751
BLYP 50 -72.7 -4.0675250206
BLYP 50 -72.55 -4.0436299374
BLYP 50 -72.4 -4.0198316977
BLYP 50 -72.25 -3.9961303723
BLYP 50 -72.1 -3.9725260305
BLYP 50 -71.95 -3.9490187396
BLYP 50 -71.8 -3.9256085657
BLYP 50 -71.65 -3.9022955731
BLYP 50 -71.5 -3.8790798243
