Distance HF_Energy DFA_Energy Coefficient Exponent
0.001 7454.8269585040 7454.8435897436 -0.0316094 129.3574883
0.002 3718.4541563040 3718.4708124935 -0.0316780 129.3578852
0.003 2473.0011901564 2473.0178733601 -0.0317696 129.3590899
0.004 1850.2798961876 1850.2966448259 -0.0319554 129.3611679
0.005 1476.6506177063 1476.6675583290 -0.0324100 129.3597321
0.006 1227.5714456374 1227.5884718203 -0.0326647 129.3600834
0.007 1049.6635331587 1049.6806613900 -0.0329678 129.3599492
0.008 916.2384303454 916.2556395211 -0.0332562 129.3606120
0.009 812.4691934726 812.4865241728 -0.0336412 129.3608878
0.010 729.4596295910 729.4771051351 -0.0340866 129.3607716
0.011 661.5484989641 661.5660996100 -0.0345136 129.3608997
0.012 604.9616166237 604.9793492262 -0.0349721 129.3612762
0.013 557.0860612091 557.1039600972 -0.0355168 129.3614523
0.014 516.0554374444 516.0735149185 -0.0361183 129.3618962
0.015 480.4952579464 480.5135751779 -0.0368618 129.3613143
0.016 449.3910912693 449.4095724562 -0.0374671 129.3615348
0.017 421.9514645006 421.9701273426 -0.0381419 129.3616368
0.018 397.5657936134 397.5846562417 -0.0388589 129.3616920
0.019 375.7520390001 375.7711032981 -0.0396200 129.3616302
0.020 356.1245406575 356.1437989869 -0.0403814 129.3616017
0.021 338.3710870941 338.3905365170 -0.0411578 129.3616751
0.022 322.2362200136 322.2558673958 -0.0419814 129.3617034
0.023 307.5088973992 307.5287527328 -0.0428377 129.3617659
0.024 294.0132408361 294.0333086128 -0.0437456 129.3617427
0.025 281.6015034797 281.6217806755 -0.0446659 129.3616892
0.026 270.1486607949 270.1691414384 -0.0456005 129.3616804
0.027 259.5482033418 259.5688840418 -0.0465603 129.3616827
0.028 249.7088310905 249.7297128192 -0.0475350 129.3616880
0.029 240.5518310111 240.5729167833 -0.0485578 129.3617023
0.030 232.0078142661 232.0291054892 -0.0496063 129.3616850
0.031 224.0197667554 224.0412613037 -0.0506770 129.3616301
0.032 216.5344401341 216.5561331649 -0.0517712 129.3615986
0.033 209.5061357649 209.5280219320 -0.0528683 129.3615613
0.034 202.8945285612 202.9166039385 -0.0539975 129.3615425
0.035 196.6638996348 196.6861621980 -0.0551517 129.3615411
0.036 190.7824968102 190.8049455421 -0.0563191 129.3615108
0.037 185.2219988137 185.2446323168 -0.0575276 129.3615281
0.038 179.9570640414 179.9798795964 -0.0587563 129.3615020
0.039 174.9649487259 174.9879422366 -0.0600023 129.3614531
0.040 170.2251823581 170.2483490185 -0.0612655 129.3614368
0.041 165.7192905905 165.7426257620 -0.0625493 129.3613882
0.042 161.4305577082 161.4540575137 -0.0638463 129.3613259
0.043 157.3438222295 157.3674836368 -0.0651769 129.3613167
0.044 153.4453003643 153.4691208425 -0.0665350 129.3613515
0.045 149.7219183700 149.7458954108 -0.0679142 129.3612984
0.046 146.1632604513 146.1873911182 -0.0693083 129.3612350
0.047 142.7582961095 142.7825769923 -0.0707350 129.3612579
0.048 139.4974073876 139.5218347311 -0.0721765 129.3611684
0.049 136.3717610732 136.3963310704 -0.0736468 129.3611382
0.050 133.3732302261 133.3979392972 -0.0751382 129.3611194
0.051 130.4943249264 130.5191698745 -0.0766578 129.3610937
0.052 127.7281310052 127.7531090108 -0.0782014 129.3610748
0.053 125.0682557010 125.0933641933 -0.0797735 129.3611106
0.054 122.5087793473 122.5340158271 -0.0813590 129.3610360
0.055 120.0442123242 120.0695742133 -0.0829882 129.3610797
0.056 117.6694566185 117.6949411816 -0.0846304 129.3609862
0.057 115.3797714289 115.4053757744 -0.0863098 129.3610375
0.058 113.1707423321 113.1964634708 -0.0880074 129.3610083
0.059 111.0379572380 111.0637921747 -0.0897255 129.3609186
0.060 108.9781769159 109.0041226598 -0.0914856 129.3609773
0.061 106.9875038738 107.0135575071 -0.0932615 129.3608596
0.062 105.0625786016 105.0887372398 -0.0950649 129.3609156
0.063 103.2002543745 103.2265151148 -0.0968865 129.3609012
0.064 101.3975806995 101.4239405583 -0.0987361 129.3607824
0.065 99.6517883161 99.6782441740 -0.1006124 129.3608446
0.066 97.9602755844 97.9868241511 -0.1025062 129.3608231
0.067 96.3205961104 96.3472339146 -0.1044209 129.3607779
0.068 94.7304474744 94.7571708717 -0.1063461 129.3606671
0.069 93.1876609398 93.2144661463 -0.1083066 129.3607302
0.070 91.6901920367 91.7170751946 -0.1102730 129.3606796
0.071 90.2361119238 90.2630691394 -0.1122455 129.3605581
0.072 88.8235994452 88.8506268222 -0.1142461 129.3605234
0.073 87.4509338115 87.4780274781 -0.1162603 129.3605847
0.074 86.1163017517 86.1434578874 -0.1182759 129.3604555
0.075 84.8185407167 84.8457555387 -0.1203170 129.3605288
0.076 83.5560011036 83.5832709056 -0.1223652 129.3604903
0.077 82.3273009336 82.3546220884 -0.1244179 129.3603549
0.078 81.1311295156 81.1584984862 -0.1264960 129.3604292
0.079 79.9662428647 79.9936562164 -0.1285758 129.3602909
0.080 78.8314594618 78.8589138738 -0.1306784 129.3603654
0.081 77.7256563306 77.7531486066 -0.1327790 129.3602305
0.082 76.6477654082 76.6752924839 -0.1349074 129.3601970
0.083 75.5967701852 75.6243291339 -0.1370447 129.3602825
0.084 74.5717025966 74.5992906306 -0.1391879 129.3602584
0.085 73.5716401403 73.5992546088 -0.1413453 129.3601194
0.086 72.5957032064 72.6233415909 -0.1435284 129.3602135
0.087 71.6430525977 71.6707125049 -0.1457184 129.3601902
0.088 70.7128872268 70.7405663796 -0.1479251 129.3600444
