"Basis_Set","Functional","Nucleus","Energy","SIE_estimate"
"def2-QZVPP","BLYP","H",-0.497859068,0.00212422979999999
"def2-QZVPP","BLYP","He",-1.9950858709,0.00486143790000004
"def2-QZVPP","BLYP","Li",-4.492367962,0.0076245265999999
"def2-QZVPP","BLYP","Be",-7.9896144014,0.0103742822999999
"def2-QZVPP","BLYP","B",-12.4868618493,0.0131220548000002
"def2-QZVPP","BLYP","C",-17.9841089723,0.0158686989000003
"def2-QZVPP","BLYP","N",-24.4813552775,0.0186147155
"def2-QZVPP","BLYP","O",-31.9786006388,0.0213603414999994
"def2-QZVPP","BLYP","F",-40.4758394381,0.0241059250999953
"def2-QZVPP","BLYP","Ne",-49.9730790378,0.0268510679999991
"def2-QZVPP","BLYP","Na",-60.4703694475,0.0295964243000029
"def2-QZVPP","BLYP","Mg",-71.9676315484,0.0323408717999882
"def2-QZVPP","BLYP","Al",-84.4648848541,0.0350858286999909
"def2-QZVPP","BLYP","Si",-97.9621372585,0.0378304177000075
"def2-QZVPP","BLYP","P",-112.4593878624,0.0405748394999961
"def2-QZVPP","BLYP","S",-127.956638262,0.0433193198000055
"def2-QZVPP","BLYP","Cl",-144.4538862017,0.0460636868000108
"def2-QZVPP","BLYP","Ar",-161.9511370101,0.0488082598999995
"def2-QZVPP","BLYP","K",-180.4483717319,0.0515341034000016
"def2-QZVPP","BLYP","Ca",-199.9456279205,0.0542892964000146
"def2-QZVPP","BLYP","Sc",-220.4428550346,0.0570310870000128
"def2-QZVPP","BLYP","Ti",-241.9401279137,0.0597764764999908
"def2-QZVPP","BLYP","V",-264.4373691314,0.0625207062000186
"def2-QZVPP","BLYP","Cr",-287.9346116846,0.0652651114000378
"def2-QZVPP","BLYP","Mn",-312.4318692443,0.0680069398999876
"def2-QZVPP","BLYP","Fe",-337.9291043417,0.0707532659000094
"def2-QZVPP","BLYP","Co",-364.4263502581,0.0734974761999752
"def2-QZVPP","BLYP","Ni",-391.9235882893,0.0762413738999612
"def2-QZVPP","BLYP","Cu",-420.4208216329,0.0789888500999609
"def2-QZVPP","BLYP","Zn",-449.9180774884,0.0817301101000112
"def2-QZVPP","BLYP","Ga",-480.4153362182,0.0844844382999668
"def2-QZVPP","BLYP","Ge",-511.9125756235,0.0872355790999677
"def2-QZVPP","BLYP","As",-544.4098075934,0.0899819923999985
"def2-QZVPP","BLYP","Se",-577.9069259177,0.0927280164999047
"def2-QZVPP","BLYP","Br",-612.404238611,0.0954721630000677
"def2-QZVPP","BLYP","Kr",-647.9014143165,0.0982171739999558
"def2-QZVPP","B3LYP","H",-0.5024069563,-0.00242365849999998
"def2-QZVPP","B3LYP","He",-1.9986049381,0.00134237069999998
"def2-QZVPP","B3LYP","Li",-4.4941808786,0.0058116100000003
"def2-QZVPP","B3LYP","Be",-7.9894214481,0.0105672355999999
"def2-QZVPP","B3LYP","B",-12.4844952514,0.0154886527000002
"def2-QZVPP","B3LYP","C",-17.9794607337,0.0205169374999983
"def2-QZVPP","B3LYP","N",-24.4743499404,0.0256200526000008
"def2-QZVPP","B3LYP","O",-31.9691824413,0.0307785389999999
"def2-QZVPP","B3LYP","F",-40.4639655157,0.0359798474999948
"def2-QZVPP","B3LYP","Ne",-49.9587152675,0.0412148383000002
"def2-QZVPP","B3LYP","Na",-60.4534881339,0.0464777378999983
"def2-QZVPP","B3LYP","Mg",-71.948209597,0.0517628231999936
"def2-QZVPP","B3LYP","Al",-84.442903021,0.0570676617999908
"def2-QZVPP","B3LYP","Si",-97.9375789143,0.0623887618999959
"def2-QZVPP","B3LYP","P",-112.4322386686,0.06772403330001
"def2-QZVPP","B3LYP","S",-127.9268857461,0.0730718357000057
"def2-QZVPP","B3LYP","Cl",-144.4215193425,0.0784305459999928
"def2-QZVPP","B3LYP","Ar",-161.9161460928,0.0837991772000066
"def2-QZVPP","B3LYP","K",-180.4107429912,0.0891628441000023
"def2-QZVPP","B3LYP","Ca",-199.9053616317,0.0945555851999984
"def2-QZVPP","B3LYP","Sc",-220.3999403182,0.0999458034000043
"def2-QZVPP","B3LYP","Ti",-241.8945592471,0.105345143099981
"def2-QZVPP","B3LYP","V",-264.3891403792,0.110749458399994
"def2-QZVPP","B3LYP","Cr",-287.8837175078,0.116159288200038
"def2-QZVPP","B3LYP","Mn",-312.3783039462,0.121572237999999
"def2-QZVPP","B3LYP","Fe",-337.8728646672,0.126992940399987
"def2-QZVPP","B3LYP","Co",-364.367431365,0.13241636929996
"def2-QZVPP","B3LYP","Ni",-391.8619861814,0.137843481799962
"def2-QZVPP","B3LYP","Cu",-420.3565336527,0.143276830299953
"def2-QZVPP","B3LYP","Zn",-449.8510984921,0.14870910640002
"def2-QZVPP","B3LYP","Ga",-480.3456664386,0.154154217899986
"def2-QZVPP","B3LYP","Ge",-511.8402112276,0.159599974999992
"def2-QZVPP","B3LYP","As",-544.3347445389,0.165045046899991
"def2-QZVPP","B3LYP","Se",-577.8291615469,0.170492387299987
"def2-QZVPP","B3LYP","Br",-612.3237697965,0.17594097750009
"def2-QZVPP","B3LYP","Kr",-647.8182391095,0.18139238099991
"def2-QZVPP","B97M-V","H",-0.5014786684,-0.00149537059999999
"def2-QZVPP","B97M-V","He",-2.0012750473,-0.00132773850000012
"def2-QZVPP","B97M-V","Li",-4.5010183731,-0.00102588449999974
"def2-QZVPP","B97M-V","Be",-8.0002800797,-0.000291395999999722
"def2-QZVPP","B97M-V","B",-12.4992011282,0.000782775900001198
"def2-QZVPP","B97M-V","C",-17.9978593832,0.00211828799999836
"def2-QZVPP","B97M-V","N",-24.4963103468,0.00365964619999914
"def2-QZVPP","B97M-V","O",-31.9945950368,0.0053659434999993
"def2-QZVPP","B97M-V","F",-40.4927377075,0.00720765570000026
"def2-QZVPP","B97M-V","Ne",-49.9907695513,0.00916055449999931
"def2-QZVPP","B97M-V","Na",-60.4887571744,0.0112086974000007
"def2-QZVPP","B97M-V","Mg",-71.9866366074,0.0133358127999941
"def2-QZVPP","B97M-V","Al",-84.4844372044,0.0155334784000019
"def2-QZVPP","B97M-V","Si",-97.9821754305,0.0177922456999937
"def2-QZVPP","B97M-V","P",-112.4798582107,0.0201044912000015
"def2-QZVPP","B97M-V","S",-127.977493328,0.0224642538000097
"def2-QZVPP","B97M-V","Cl",-144.475083518,0.024866370500007
"def2-QZVPP","B97M-V","Ar",-161.9726384304,0.0273068396000156
"def2-QZVPP","B97M-V","K",-180.4701151922,0.0297906431000001
"def2-QZVPP","B97M-V","Ca",-199.9676332517,0.0322839652000084
"def2-QZVPP","B97M-V","Sc",-220.4650677467,0.034818374900027
"def2-QZVPP","B97M-V","Ti",-241.9625233403,0.0373810498999774
"def2-QZVPP","B97M-V","V",-264.4599243317,0.0399655058999997
"def2-QZVPP","B97M-V","Cr",-287.9573043162,0.0425724798000147
"def2-QZVPP","B97M-V","Mn",-312.4546726899,0.045203494299983
"def2-QZVPP","B97M-V","Fe",-337.9520097011,0.0478479065000101
"def2-QZVPP","B97M-V","Co",-364.4493348491,0.0505128851999643
"def2-QZVPP","B97M-V","Ni",-391.9466354535,0.0531942096999956
"def2-QZVPP","B97M-V","Cu",-420.4439209854,0.055889497599992
"def2-QZVPP","B97M-V","Zn",-449.941204825,0.058602773500013
"def2-QZVPP","B97M-V","Ga",-480.4384965797,0.0613240768000196
"def2-QZVPP","B97M-V","Ge",-511.9357507075,0.0640604950999659
"def2-QZVPP","B97M-V","As",-544.4329778585,0.0668117273000917
"def2-QZVPP","B97M-V","Se",-577.9300796795,0.0695742547000009
"def2-QZVPP","B97M-V","Br",-612.4273617062,0.0723490678000189
"def2-QZVPP","B97M-V","Kr",-647.9245073425,0.0751241479999862
