"System","Functional","BasisSet","Distance","Nucleus","HF_Energy","DFA_Energy","SIE_estimate"
"Triangle","LDA","def2-QZVPP",0.1,"H",11.729139652,11.8188707463,0.0897310942999994
"Triangle","LDA","def2-QZVPP",0.2,"H",4.2938336555,4.370672638,0.0768389825
"Triangle","LDA","def2-QZVPP",0.3,"H",2.072262765,2.1376848165,0.0654220515000001
"Triangle","LDA","def2-QZVPP",0.4,"H",1.0903157732,1.1463241831,0.0560084099
"Triangle","LDA","def2-QZVPP",0.5,"H",0.5722151832,0.6203860531,0.0481708699
"Triangle","LDA","def2-QZVPP",0.6,"H",0.2688373739,0.3104250585,0.0415876846
"Triangle","LDA","def2-QZVPP",0.7,"H",0.078639359,0.1146107894,0.0359714304
"Triangle","LDA","def2-QZVPP",0.8,"H",-0.046463467,-0.0153663684,0.0310970986
"Triangle","LDA","def2-QZVPP",0.9,"H",-0.1316687581,-0.1048768039,0.0267919542
"Triangle","LDA","def2-QZVPP",1,"H",-0.1912312373,-0.1683043126,0.0229269247
"Triangle","LDA","def2-QZVPP",1.1,"H",-0.2337018991,-0.2142983867,0.0194035124
"Triangle","LDA","def2-QZVPP",1.2,"H",-0.2644459199,-0.2483018327,0.0161440872
"Triangle","LDA","def2-QZVPP",1.3,"H",-0.2869575543,-0.2738710481,0.0130865062
"Triangle","LDA","def2-QZVPP",1.4,"H",-0.3035830142,-0.2934035612,0.010179453
"Triangle","LDA","def2-QZVPP",1.5,"H",-0.3159368404,-0.3085575542,0.0073792862
"Triangle","LDA","def2-QZVPP",1.6,"H",-0.3251549611,-0.3205060313,0.00464892979999998
"Triangle","LDA","def2-QZVPP",1.7,"H",-0.3320530338,-0.3300958506,0.00195718319999999
"Triangle","LDA","def2-QZVPP",1.8,"H",-0.3372260881,-0.3379483273,-0.00072223920000003
"Triangle","LDA","def2-QZVPP",1.9,"H",-0.3411136423,-0.3445248335,-0.0034111912
"Triangle","LDA","def2-QZVPP",2,"H",-0.3440447707,-0.3501716829,-0.0061269122
"Triangle","LDA","def2-QZVPP",2.1,"H",-0.3462691906,-0.3551512253,-0.00888203469999999
"Triangle","LDA","def2-QZVPP",2.2,"H",-0.3479778455,-0.359663118,-0.0116852725
"Triangle","LDA","def2-QZVPP",2.3,"H",-0.3493170382,-0.3638591074,-0.0145420692
"Triangle","LDA","def2-QZVPP",2.4,"H",-0.3503999628,-0.3678542413,-0.0174542785
"Triangle","LDA","def2-QZVPP",2.5,"H",-0.351317645,-0.3717361176,-0.0204184726
"Triangle","LDA","def2-QZVPP",2.6,"H",-0.3521489627,-0.375572222,-0.0234232593
"Triangle","LDA","def2-QZVPP",2.7,"H",-0.3529674699,-0.3794146933,-0.0264472234
"Triangle","LDA","def2-QZVPP",2.8,"H",-0.3538423624,-0.3833019027,-0.0294595403
"Triangle","LDA","def2-QZVPP",2.9,"H",-0.3548333674,-0.3872576112,-0.0324242438
"Triangle","LDA","def2-QZVPP",3,"H",-0.355983272,-0.3912900663,-0.0353067943
"Triangle","LDA","def2-QZVPP",3.1,"H",-0.3573133519,-0.3953930067,-0.0380796548
"Triangle","LDA","def2-QZVPP",3.2,"H",-0.358824449,-0.3995491531,-0.0407247041
"Triangle","LDA","def2-QZVPP",3.3,"H",-0.3605023719,-0.4037349668,-0.0432325949
"Triangle","LDA","def2-QZVPP",3.4,"H",-0.3623244756,-0.4079248966,-0.045600421
"Triangle","LDA","def2-QZVPP",3.5,"H",-0.3642650519,-0.4120944621,-0.0478294102
"Triangle","LDA","def2-QZVPP",3.6,"H",-0.3662987264,-0.4162219921,-0.0499232657
"Triangle","LDA","def2-QZVPP",3.7,"H",-0.3684021804,-0.4202892323,-0.0518870519
"Triangle","LDA","def2-QZVPP",3.8,"H",-0.3705547744,-0.4242814102,-0.0537266358
"Triangle","LDA","def2-QZVPP",3.9,"H",-0.3727386016,-0.4281870576,-0.055448456
"Triangle","LDA","def2-QZVPP",4,"H",-0.3749383094,-0.4319975883,-0.0570592789
"Triangle","LDA","def2-QZVPP",4.1,"H",-0.3771408299,-0.4357068281,-0.0585659982
"Triangle","LDA","def2-QZVPP",4.2,"H",-0.3793351269,-0.4393107049,-0.059975578
"Triangle","LDA","def2-QZVPP",4.3,"H",-0.3815119563,-0.4428069009,-0.0612949446
"Triangle","LDA","def2-QZVPP",4.4,"H",-0.3836636521,-0.446194479,-0.0625308269
"Triangle","LDA","def2-QZVPP",4.5,"H",-0.3857839494,-0.449473615,-0.0636896656
"Triangle","LDA","def2-QZVPP",4.6,"H",-0.3878678066,-0.4526453879,-0.0647775813
"Triangle","LDA","def2-QZVPP",4.7,"H",-0.3899112617,-0.4557116107,-0.065800349
"Triangle","LDA","def2-QZVPP",4.8,"H",-0.3919112876,-0.4586746417,-0.0667633541
"Triangle","LDA","def2-QZVPP",4.9,"H",-0.3938656609,-0.4615372225,-0.0676715616
"Triangle","LDA","def2-QZVPP",5,"H",-0.3957728512,-0.4643023733,-0.0685295221
"Triangle","LDA","def2-QZVPP",5.1,"H",-0.3976319065,-0.4669733022,-0.0693413957
"Triangle","LDA","def2-QZVPP",5.2,"H",-0.3994423652,-0.4695533606,-0.0701109954
"Triangle","LDA","def2-QZVPP",5.3,"H",-0.4012041684,-0.4720459722,-0.0708418038
"Triangle","LDA","def2-QZVPP",5.4,"H",-0.4029175837,-0.4744545519,-0.0715369682
"Triangle","LDA","def2-QZVPP",5.5,"H",-0.4045831482,-0.4767824595,-0.0721993113
"Triangle","LDA","def2-QZVPP",5.6,"H",-0.4062016067,-0.4790329755,-0.0728313688
"Triangle","LDA","def2-QZVPP",5.7,"H",-0.4077738733,-0.4812093252,-0.0734354519
"Triangle","LDA","def2-QZVPP",5.8,"H",-0.4093009854,-0.4833146613,-0.0740136759
"Triangle","LDA","def2-QZVPP",5.9,"H",-0.4107840778,-0.4853520364,-0.0745679586
"Triangle","LDA","def2-QZVPP",6,"H",-0.4122243531,-0.4873243602,-0.0751000071
"Triangle","LDA","def2-QZVPP",6.1,"H",-0.4136230588,-0.4892343922,-0.0756113334
"Triangle","LDA","def2-QZVPP",6.2,"H",-0.4149814697,-0.4910847707,-0.076103301
"Triangle","LDA","def2-QZVPP",6.3,"H",-0.4163008739,-0.4928780412,-0.0765771673
"Triangle","LDA","def2-QZVPP",6.4,"H",-0.4175825614,-0.4946166631,-0.0770341017
"Triangle","LDA","def2-QZVPP",6.5,"H",-0.418827813,-0.4963029861,-0.0774751731
"Triangle","LDA","def2-QZVPP",6.6,"H",-0.420037891,-0.4979392259,-0.0779013349
"Triangle","LDA","def2-QZVPP",6.7,"H",-0.4212140366,-0.4995274686,-0.078313432
"Triangle","LDA","def2-QZVPP",6.8,"H",-0.4223574606,-0.5010696828,-0.0787122222
"Triangle","LDA","def2-QZVPP",6.9,"H",-0.423469344,-0.5025677528,-0.0790984088
"Triangle","LDA","def2-QZVPP",7,"H",-0.4245508331,-0.5040234921,-0.0794726589999999
"Triangle","LDA","def2-QZVPP",7.1,"H",-0.4256030361,-0.5054386398,-0.0798356037
"Triangle","LDA","def2-QZVPP",7.2,"H",-0.4266270255,-0.5068148541,-0.0801878286000001
"Triangle","LDA","def2-QZVPP",7.3,"H",-0.4276238335,-0.5081536954,-0.0805298619
"Triangle","LDA","def2-QZVPP",7.4,"H",-0.4285944552,-0.5094566323,-0.0808621771
"Triangle","LDA","def2-QZVPP",7.5,"H",-0.4295398472,-0.5107250499,-0.0811852027
"Triangle","LDA","def2-QZVPP",7.6,"H",-0.4304609264,-0.5119602638,-0.0814993374
"Triangle","LDA","def2-QZVPP",7.7,"H",-0.4313585744,-0.513163538,-0.0818049636
"Triangle","LDA","def2-QZVPP",7.8,"H",-0.4322336356,-0.5143360845,-0.0821024489
"Triangle","LDA","def2-QZVPP",7.9,"H",-0.433086919,-0.5154790679,-0.0823921489
"Triangle","LDA","def2-QZVPP",8,"H",-0.4339192004,-0.5165935987,-0.0826743983
"Triangle","LDA","def2-QZVPP",8.1,"H",-0.4347312209,-0.5176807266,-0.0829495057
"Triangle","LDA","def2-QZVPP",8.2,"H",-0.435523692,-0.5187414455,-0.0832177535
"Triangle","LDA","def2-QZVPP",8.3,"H",-0.4362972929,-0.5197766918,-0.0834793988999999
"Triangle","LDA","def2-QZVPP",8.4,"H",-0.4370526751,-0.5207873568,-0.0837346817
"Triangle","LDA","def2-QZVPP",8.5,"H",-0.4377904623,-0.5217742921,-0.0839838298
"Triangle","LDA","def2-QZVPP",8.6,"H",-0.4385112503,-0.5227383138,-0.0842270635
"Triangle","LDA","def2-QZVPP",8.7,"H",-0.4392156112,-0.5236802095,-0.0844645983
"Triangle","LDA","def2-QZVPP",8.8,"H",-0.4399040912,-0.5246007347,-0.0846966435
